X,Y,UNIQUE_ID,DATE,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
1300180.906,1446317.4,LS_1,6/20/07 0:00,sheet 1,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
1336346.258,1436654.77,LS_3,6/20/07 0:00,sheet 1,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
891648.062599999947,1397783.527,LS_11,8/13/08 0:00,na,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",vol.M.cr.gr.r2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Reversed magnetostratigraphic unit 2,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
903540.74,1400456.043,LS_12,8/13/08 0:00,na,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",vol.M.cr.gr.r2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Reversed magnetostratigraphic unit 2,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
932471.1587,1413020.828,LS_14,8/12/08 0:00,na,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
946359.1311,1420797.969,LS_16,8/25/08 0:00,na,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
952516.077399999951,1423986.646,LS_20,8/12/08 0:00,na,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
954841.178599999985,1426758.011,LS_21,8/25/08 0:00,na,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
956742.3815,1429221.651,LS_22,8/25/08 0:00,na,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
957343.046,1429967.784,LS_23,8/25/08 0:00,na,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
972728.5219,1440945.521,LS_25,8/29/07 0:00,na,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
973458.981299999985,1441153.428,LS_26,8/25/08 0:00,na,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
975268.9291,1441597.985,LS_27,8/25/08 0:00,na,Tia,Intrusive andesite,intr.M.lwc.nd.nd.nd.and,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,no data,andesite,no data,no data,no data,no data,no data,no data,plutonic
978672.642499999958,1441355.349,LS_28,8/13/08 0:00,na,Tia,Intrusive andesite,intr.M.lwc.nd.nd.nd.and,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,no data,andesite,no data,no data,no data,no data,no data,no data,plutonic
1196680.205,1109639.03,LS_64,1/5/06 0:00,na,Tjt,John Day Formation,vlc.EO.jdcl.jd.nd.nd.tff,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,tuff,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic
1189277.658,1101440.161,LS_65,1/5/06 0:00,na,Tjt,John Day Formation,vlc.EO.jdcl.jd.nd.nd.tff,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,no data,tuff,sv.MIX.Lsd.CGsd.End,sedimentary/volcanic rocks,mixed lithologies,some data,some data crystals/grains,no data,volcanic
1227416.578,875046.2123,LS_122,6/26/07 0:00,na,Tcr1,Basalt of Columbia River Group,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,flw.BAS.Lnd.Cmix.Ejnt,lava flows,basalt,no data,mixed crystals,jointed,volcanic
1228913.732,871629.8493,LS_126,6/25/07 0:00,na,Tcr1,Basalt of Columbia River Group,vol.M.cr.prn.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,no data,basalt,flw.BAS.Lnd.Cmix.Ejnt,lava flows,basalt,no data,mixed crystals,jointed,volcanic
453144.336599999981,1301567.484,LS_133,8/9/06 0:00,na,Tbr,Submarine basalt tuff and breccia,mvl.E.ytg.tlv.nd.nd.bas,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
388553.727599999984,1109635.119,LS_134,8/23/07 0:00,na,Qtc,Coastal Terrace Deposits,sed.Q.qsd.ct.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
386727.5367,1094905.169,LS_135,8/23/07 0:00,na,Qtc,Coastal Terrace Deposits,sed.Q.qsd.ct.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
386269.450599999982,1094092.358,LS_136,8/23/07 0:00,na,Qtc,Coastal Terrace Deposits,sed.Q.qsd.ct.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
761507.089099999983,977190.3865,LS_139,1/19/06 0:00,na,Tolb,Little Butte Formation,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
772205.752499999944,973507.61,LS_142,1/19/06 0:00,na,Tolb,Little Butte Formation,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
774853.6726,973152.0054,LS_143,1/19/06 0:00,na,Tolb,Little Butte Formation,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
774980.6126,973158.7343,LS_144,1/19/06 0:00,na,Tolb,Little Butte Formation,vlc.OM.lbv.nd.nd.nd.mix,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,no data,mixed lithologies,no data,no data,no data,no data,no data,no data,volcanic
