X,Y,REF_ID_COD,UNIQUE_ID,DATE,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,nlcd_2006_
1285467.394,1454567.759,ODOT2011,LS_0,6/20/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,41
1300566.281,1446574.309,ODOT2011,LS_1,6/20/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,81
1316943.11,1435213.605,ODOT2011,LS_2,3/29/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,41
1336731.661,1437168.634,ODOT2011,LS_3,6/20/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,41
1342539.547,1437518.348,ODOT2011,LS_4,6/21/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,42
1343657.724,1437772.279,ODOT2011,LS_5,6/21/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,41
1346349.553,1438720.703,ODOT2011,LS_6,6/21/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,21
1346935.047,1439020.406,ODOT2011,LS_7,6/21/07,Tf,Frenchman Springs Member,vol.M.cr.wp.fs.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,no data,basalt,11
1665425.053,1524439.632,ODOT2011,LS_8,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,71
1678224.475,1534044.927,ODOT2011,LS_9,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,82
1678664.146,1534368.678,ODOT2011,LS_10,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,82
891391.0682,1398811.308,ODOT2011,LS_11,8/13/08,Qal,Alluvium,sed.Q.qsd.al.clm.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,no data,fine grained sediments,82
903155.2713,1401355.345,ODOT2011,LS_12,8/13/08,Qal,Alluvium,sed.Q.qsd.al.clm.nd.fine,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,no data,fine grained sediments,41
928728.8698,1411898.987,ODOT2011,LS_13,8/29/07,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,41
932214.165,1414048.61,ODOT2011,LS_14,8/12/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,43
938928.6142,1418069.781,ODOT2011,LS_15,8/12/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,21
946359.1017,1421054.882,ODOT2011,LS_16,8/25/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,42
946547.7992,1421078.027,ODOT2011,LS_17,8/25/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,42
947075.4239,1420911.077,ODOT2011,LS_18,8/12/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,41
941425.061,1419523.862,ODOT2011,LS_19,8/12/08,Tec,Eagle Creek Formation,vlc.M.jdcl.eag.nd.nd.mix,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,no data,mixed lithologies,41
952130.6093,1424372.037,ODOT2011,LS_20,8/12/08,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,43
954198.7474,1427143.399,ODOT2011,LS_21,8/25/08,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,42
955971.481,1429607.036,ODOT2011,LS_22,8/25/08,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,41
956186.729,1429839.25,ODOT2011,LS_23,8/25/08,Qls,Landslide,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,41
958771.2365,1431908.585,ODOT2011,LS_24,8/13/08,Qvb,"Basalt flows, unnamed",vol.PPl.bvf.nwc.nd.nd.bas,volcanic rocks,Pliocene/Pleistocene,Boring Volcanic Field,Northwest Cascade Volcanoes,No data,no data,basalt,81
972728.4961,1441330.912,ODOT2011,LS_25,8/29/07,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,41
973458.9669,1441410.339,ODOT2011,LS_26,8/25/08,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,81
975268.8875,1441597.939,ODOT2011,LS_27,8/25/08,Tia,Intrusive andesite,intr.M.lwc.nd.nd.nd.and,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,no data,andesite,41
978672.6073,1441355.304,ODOT2011,LS_28,8/13/08,Tia,Intrusive andesite,intr.M.lwc.nd.nd.nd.and,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,no data,andesite,81
981726.0892,1440297.385,ODOT2011,LS_29,8/25/08,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,43
984218.6312,1439488.181,ODOT2011,LS_30,8/26/08,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,41
994682.1969,1439401.143,ODOT2011,LS_31,9/30/08,Piqd,"Pliocene quartz diorite, Wind Mountain and Shell Rock quartz diorite",intr.P.ehc.nd.nd.nd.int,intrusive rocks,Pliocene,Early High Cascade Volcanics,No data,No data,no data,intermediate composition lithologies,81
998450.0968,1438713.45,ODOT2011,LS_32,9/30/08,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",vol.M.cr.gr.n1.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,no data,basalt,41
1007293.958,1437691.461,ODOT2011,LS_33,9/30/08,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",vol.M.cr.gr.n1.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,no data,basalt,41
1009525.925,1439429.118,ODOT2011,LS_34,9/30/08,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",vol.M.cr.gr.n1.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,no data,basalt,42
1010210.262,1439799.662,ODOT2011,LS_35,9/30/08,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",vol.M.cr.gr.n1.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,no data,basalt,41
1020626.917,1441782.656,ODOT2011,LS_36,9/4/08,Tgr2,"Grande Ronde Basalt, lower flows, reverse magnetic polarity",vol.M.cr.gr.r2.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Reversed magnetostratigraphic unit 2,no data,basalt,81
1027028.621,1443410.251,ODOT2011,LS_37,9/5/08,Af,Modern fill and construction material,sed.R.qsd.mmf.nd.nd.mix,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,no data,mixed grained sediments,42
1035015.426,1443728.865,ODOT2011,LS_38,9/4/08,Af,Modern fill and construction material,sed.R.qsd.mmf.nd.nd.mix,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,no data,mixed grained sediments,81
1035408.055,1443834.031,ODOT2011,LS_39,9/4/08,Tpbr,Basalt of Ruthton Point,vol.P.lhc.brp.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,no data,basalt,21
1036506.607,1444284.541,ODOT2011,LS_40,9/5/08,Tpbr,Basalt of Ruthton Point,vol.P.lhc.brp.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,no data,basalt,81
1035931.671,1444009.092,ODOT2011,LS_41,9/4/08,Tpbr,Basalt of Ruthton Point,vol.P.lhc.brp.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,no data,basalt,81
1036031.352,1444129.759,ODOT2011,LS_42,9/5/08,Tpbr,Basalt of Ruthton Point,vol.P.lhc.brp.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,no data,basalt,81
1036643.89,1444218.554,ODOT2011,LS_43,9/4/08,Tpbr,Basalt of Ruthton Point,vol.P.lhc.brp.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,no data,basalt,81
1039160.686,1444277.56,ODOT2011,LS_44,9/5/08,Tpbh,Basalt of Hood River,vol.P.ehc.bhr.nd.nd.bas,volcanic rocks,Pliocene,Late High Cascade Volcanics,No data,no data,no data,basalt,42
1679692.362,1534918.55,ODOT2011,LS_45,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,90
1681009.881,1535645.424,ODOT2011,LS_46,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,22
1686424.531,1538326.611,ODOT2011,LS_47,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,42
1688411.553,1539324.859,ODOT2011,LS_48,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,90
1690347.865,1540647.584,ODOT2011,LS_49,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,52
1693380.823,1543469.929,ODOT2011,LS_50,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,42
1695548.563,1546013.855,ODOT2011,LS_51,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,42
1696729.985,1548278.742,ODOT2011,LS_52,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,90
1698272.27,1551193.315,ODOT2011,LS_53,10/16/07,Tfsg,Basalt of Sentinel Gap,vol.M.cr.wp.fs.sg.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,Basalt of Sentinel Gap,basalt,11
1202435.119,1142479.383,ODOT2011,LS_54,1/4/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,52
1202390.661,1142488.204,ODOT2011,LS_55,1/4/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,52
1201782.735,1140269.579,ODOT2011,LS_56,1/4/06,Tcr,Basalt of Columbia River Group,vol.M.cr.gr.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,42
