X,Y,nlcd_2011_,nlcd_2001_,nlcd_2006_
-123.9610827,45.08700777,42,42,42
-123.9567429,45.08623021,42,42,42
-123.9529576,45.08274118,43,43,43
-123.9378689,45.08041523,42,42,42
-123.9599023,45.0791988,42,42,42
-123.9653008,45.07626255,42,42,42
-123.995197,45.0899856,43,43,43
-124.0034161,45.08386735,42,42,42
-123.9144603,45.06720714,42,42,42
-123.9744829,45.07363948,42,42,42
-123.9399901,45.11180872,43,43,43
-123.9429444,45.10062187,42,42,42
-123.8764125,45.0836905,42,42,42
-123.8625428,45.12735743,52,52,52
-123.8199451,45.14193472,43,43,43
-123.8598376,45.16950749,42,42,42
-123.7890352,45.12097135,43,43,43
-123.740192,45.13650504,42,42,42
-123.7593158,45.20230883,42,42,42
-123.8224243,45.19526084,41,41,41
-123.7010567,45.16267134,52,71,52
-123.6808051,45.1478575,42,42,42
-123.7042108,45.12658332,43,43,43
-123.6904624,45.21959233,42,42,42
-123.7248843,45.22106837,52,52,52
-123.7400282,45.23601764,43,43,43
-123.6346146,45.21342833,42,42,42
-123.6821193,45.33873694,43,43,43
-123.6668789,45.34319732,42,42,42
-123.9356064,45.27084967,42,42,42
-123.9485308,45.382114,43,43,43
-123.8550996,45.56240501,71,42,42
-123.8948199,45.59159139,43,43,43
-123.6491993,45.46096572,43,43,43
-123.5928789,45.53607597,42,42,42
-123.5570363,45.5980826,52,42,42
-123.5321728,45.59630386,42,42,42
-123.5352232,45.54486784,42,42,42
-123.8479784,45.5884937,43,43,43
-123.6936741,45.73515772,43,43,43
-123.7155614,45.7341548,42,42,42
-123.7412106,45.72819117,43,43,43
-123.7605594,45.72320605,52,41,41
-123.6728338,45.75513345,43,43,43
-123.6981448,45.75323256,42,42,42
-123.7180599,45.74783504,43,43,43
-123.6214608,45.7451906,43,43,43
-123.8184227,45.70540522,43,43,43
-123.6101199,45.78107496,52,41,71
-123.4951387,45.65953058,42,42,42
-123.5030182,45.64477172,43,43,43
-123.645491,45.69885457,21,21,21
-123.6191811,45.70319757,42,42,42
-123.6795413,45.71977147,42,42,42
-123.5723666,45.84231532,43,43,43
-123.5901782,45.82931373,52,52,52
-123.8658174,45.83467362,42,42,42
-123.9060762,45.83068167,42,42,42
-123.9140657,45.81912652,43,43,43
-123.9017255,45.81584532,21,21,21
-123.8538528,45.81803203,52,43,31
-123.8247032,45.8140089,42,42,42
-123.8003491,45.77264088,42,42,42
-123.8760441,45.67423561,71,42,42
-123.4934831,45.78289673,52,42,71
