,UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,nlcd_2011_,nlcd_2001_,nlcd_2006_,Root_Moist,Precip_Mon,Soil_Moist,Soil_Moist_Depth,Soil_Temp,Vegetation
0,NLS_1,-123.9610827,45.08700777,9/15/10,,,,,,28.17629,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
1,NLS_2,-123.9567429,45.08623021,9/15/10,,,,,,33.57044,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
2,NLS_3,-123.9529576,45.08274118,9/15/10,,,,,,34.79674,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
3,NLS_4,-123.9378689,45.08041523,9/15/10,,,,,,39.46535,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,553.57605,123.558395,28.499899,28.5,285.26,0.92200005
4,NLS_5,-123.9599023,45.0791988,9/15/10,,,,,,35.69699,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
5,NLS_6,-123.9653008,45.07626255,9/15/10,,,,,,34.65745,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
6,NLS_7,-123.995197,45.0899856,9/15/10,,,,,,45.54427,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
7,NLS_8,-124.0034161,45.08386735,9/15/10,,,,,,35.24213,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
8,NLS_9,-123.9144603,45.06720714,9/15/10,,,,,,19.29394,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tiao,Olivine-augite-phyric basalt,intrusive rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,plutonic,42,42,42,553.57605,123.558395,28.499899,28.5,285.26,0.92200005
9,NLS_10,-123.9744829,45.07363948,9/15/10,,,,,,41.33059,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
10,NLS_11,-123.9399901,45.11180872,9/15/10,,,,,,26.35807,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
11,NLS_12,-123.9429444,45.10062187,9/15/10,,,,,,25.5691,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42,566.69604,113.8816,28.801498,28.8,284.54,0.92200005
12,NLS_13,-123.8764125,45.0836905,9/15/10,,,,,,22.30194,,,,63,100,29.98,64,8,55,83,29.92,55,0.33,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,42,42,42,553.57605,123.558395,28.499899,28.5,285.26,0.92200005
