X,Y,Long,Lat,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
-123.961082747563452,45.087007766459294,418748.1098000000,1235199.9970000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.956742865122195,45.086230209530378,419855.9939000000,1234869.5750000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.95295763101997,45.08274118354651,420779.2306000000,1233557.6080000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.937868855111105,45.080415231376698,424637.3884000000,1232546.9060000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.959902335389557,45.079198799882647,418932.7571000000,1232342.8230000001,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.965300781110855,45.076262553847819,417494.4515000000,1231332.1210000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.9951969841606,45.089985601062416,409991.9381000000,1236657.7400000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-124.003416114999737,45.083867350259275,407776.1700000000,1234519.7180000001,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.914460268177663,45.067207139100489,430478.0755000000,1227483.6820000000,Sheet 1 and 2,Tiao,Olivine-augite-phyric basalt,intr.E.ytg.chb.nd.nd.bas,intrusive rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.974482905882624,45.073639476242192,415084.3176000000,1230476.9120000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.939990098597178,45.111808720014643,424569.3604000000,1244004.7600000000,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.942944424370154,45.100621868421435,423636.4054000000,1239961.9550000001,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
-123.876412482731368,45.083690502390212,440546.2152000000,1233081.4120000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.862542769493842,45.127357428015841,444777.1662000000,1248840.5770000000,Sheet 1 and 2,Tid,Diabase sill,intr.E.cig.dlf.nd.nd.bas,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.819945126659789,45.141934723704203,455976.4540000000,1253703.4260000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.859837572260915,45.169507494949407,446103.3976000000,1264165.9190000000,Sheet 1 and 2,Tidb,Intrusive Depoe Bay Basalt,inv.M.cr.gr.nd.nd.bas,invasive extrusive rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.789035169555888,45.120971352337875,463639.1246000000,1245746.0370000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.740192037283364,45.136505043076724,476459.3619000000,1250903.6040000001,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
-123.7593158429748,45.202308827282671,472480.6676000000,1275070.4870000000,Sheet 1 and 2,Tidb,Intrusive Depoe Bay Basalt,inv.M.cr.gr.nd.nd.bas,invasive extrusive rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
-123.822424334654713,45.195260835322429,456123.8130000000,1273154.8210000000,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
