UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxtempm,maxwspdi,mindewpti,mindewptm,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,nlcd_2011_,nlcd_2001_,nlcd_2006_
NLS_1,-123.9610827,45.08700777,9/15/10 0:00,,,,,,28.17629,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_2,-123.9567429,45.08623021,9/15/10 0:00,,,,,,33.57044,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_3,-123.9529576,45.08274118,9/15/10 0:00,,,,,,34.79674,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43
NLS_4,-123.9378689,45.08041523,9/15/10 0:00,,,,,,39.46535,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_5,-123.9599023,45.0791988,9/15/10 0:00,,,,,,35.69699,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_6,-123.9653008,45.07626255,9/15/10 0:00,,,,,,34.65745,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_7,-123.995197,45.0899856,9/15/10 0:00,,,,,,45.54427,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43
NLS_8,-124.0034161,45.08386735,9/15/10 0:00,,,,,,35.24213,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_9,-123.9144603,45.06720714,9/15/10 0:00,,,,,,19.29394,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tiao,Olivine-augite-phyric basalt,intrusive rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,plutonic,42,42,42
NLS_10,-123.9744829,45.07363948,9/15/10 0:00,,,,,,41.33059,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_11,-123.9399901,45.11180872,9/15/10 0:00,,,,,,26.35807,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,43,43,43
NLS_12,-123.9429444,45.10062187,9/15/10 0:00,,,,,,25.5691,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Tchb,Basalt of Cascade Head,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,basalt,volcanic,42,42,42
NLS_13,-123.8764125,45.0836905,9/15/10 0:00,,,,,,22.30194,,,,63,100,29.98,64,18,8,55,13,83,29.92,55,0.33,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,42,42,42
NLS_14,-123.8625428,45.12735743,4/14/05 0:00,,,,,,49.53107,,,,41,96,30.43,54,12,18,33,1,55,30.27,34,0.03,Tid,Diabase sill,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,basalt,plutonic,52,52,52
NLS_15,-123.8199451,45.14193472,11/3/10 0:00,,,,,,21.68102,,,,57,94,30.2,75,24,23,43,6,36,30.06,50,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,43,43,43
NLS_16,-123.8598376,45.16950749,4/14/05 0:00,,,,,,36.75171,,,,41,96,30.43,54,12,18,33,1,55,30.27,34,0.03,Tidb,Intrusive Depoe Bay Basalt,invasive extrusive rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,plutonic,42,42,42
NLS_17,-123.7890352,45.12097135,11/3/10 0:00,,,,,,17.73002,,,,57,94,30.2,75,24,23,43,6,36,30.06,50,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,43,43,43
NLS_18,-123.740192,45.13650504,11/4/10 0:00,,,,,,21.72427,,,,59,100,30.13,64,18,9,45,7,68,29.99,44,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,slope mudstone,sedimentary,42,42,42
NLS_19,-123.7593158,45.20230883,11/4/10 0:00,,,,,,35.28288,,,,59,100,30.13,64,18,9,45,7,68,29.99,44,0,Tidb,Intrusive Depoe Bay Basalt,invasive extrusive rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,plutonic,42,42,42
NLS_20,-123.8224243,45.19526084,5/3/05 0:00,,,,,,32.83259,,,,55,100,30.11,71,22,14,42,6,57,29.9,42,0.08,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,41,41,41
NLS_21,-123.7010567,45.16267134,11/4/10 0:00,,,,,,28.12558,,,,59,100,30.13,64,18,9,45,7,68,29.99,44,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,slope mudstone,sedimentary,52,71,52
NLS_22,-123.6808051,45.1478575,11/4/10 0:00,,,,,,19.37617,,,,53,100,30.15,69,21,7,40,4,51,29.93,40,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,slope mudstone,sedimentary,42,42,42
NLS_23,-123.7042108,45.12658332,11/4/10 0:00,,,,,,16.50026,,,,53,100,30.15,69,21,7,40,4,51,29.93,40,0,Ti,Tertiary intrusive rocks,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,basalt,plutonic,43,43,43
NLS_24,-123.6904624,45.21959233,11/4/10 0:00,,,,,,12.33665,,,,59,100,30.13,64,18,9,45,7,68,29.99,44,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,42,42,42
NLS_25,-123.7248843,45.22106837,11/4/10 0:00,,,,,,7.14026,,,,59,100,30.13,64,18,9,45,7,68,29.99,44,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,52,52,52
NLS_26,-123.7400282,45.23601764,5/3/05 0:00,,,,,,35.14219,,,,55,100,30.11,71,22,14,42,6,57,29.9,42,0.08,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,43,43,43
