UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi
LS_1,-120.5475817,45.71766743,6/20/07 0:00,,65.16701,,,,,,,,53,70,30.01,91,21,44,20,29.85,57,0
LS_3,-120.406054,45.69114335,6/20/07 0:00,,43.184,,,,,,,,53,70,30.01,91,21,44,20,29.85,57,0
LS_11,-122.1427822,45.57304517,8/13/08 0:00,,,,,,22.57697,,,,59,93,30.06,87,12,54,37,29.93,56,0
LS_12,-122.0965562,45.58101599,8/13/08 0:00,,,,,,30.41615,,,,57,77,30.06,64,0,57,77,30.06,64,0
LS_14,-121.9844807,45.61695475,8/12/08 0:00,,,,,,43.85429,,,,61,78,30.01,78,17,61,54,29.98,68,0
LS_16,-121.9307484,45.63895431,8/25/08 0:00,,41.56283,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_20,-121.9068968,45.64798881,8/12/08 0:00,,31.50932,,,,,,,,61,78,30.01,78,17,61,54,29.98,68,0
LS_21,-121.8979919,45.65569626,8/25/08 0:00,,15.88403,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_22,-121.8907218,45.6625396,8/25/08 0:00,,11.37468,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_23,-121.8884224,45.66461322,8/25/08 0:00,,8.88109,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_25,-121.8289535,45.69540994,8/29/07 0:00,,14.10884,,,,,,,,50,56,29.97,66,23,50,56,29.97,66,0
LS_26,-121.8261087,45.69601236,8/25/08 0:00,,28.69745,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_27,-121.8190551,45.69731118,8/25/08 0:00,,11.20641,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0
LS_28,-121.8057224,45.69679511,8/13/08 0:00,,12.04414,,,,,,,,57,77,30.06,64,0,57,77,30.06,64,0
LS_64,-120.9455832,44.79338589,1/5/06 0:00,,,10.30521,,,,,,,36,76,30.37,58,16,31,43,30.19,34,0
LS_65,-120.9739198,44.77078033,1/5/06 0:00,,,14.80612,,,,,,,36,76,30.37,58,16,31,43,30.19,34,0
LS_122,-120.8236054,44.15016805,6/26/07 0:00,,,22.45039,,,,,,,32,52,30.18,84,22,21,14,29.95,37,0
LS_126,-120.8178498,44.14081053,6/25/07 0:00,,,21.6744,,,,,,,31,92,30.25,73,14,12,11,30.15,29,0
