,UNIQUE_ID,DATE,X_1,Y_1,X,Y
0,LS_1,6/20/07 0:00,1300180.906,1446317.4,396295.1528,440837.5576
1,LS_3,6/20/07 0:00,1336346.258,1436654.77,407318.3525,437892.3879
2,LS_11,8/13/08 0:00,891648.0626,1397783.527,271774.3382,426044.4327
3,LS_12,8/13/08 0:00,903540.74,1400456.043,275399.2264,426859.0156
4,LS_14,8/12/08 0:00,932471.1587,1413020.828,284217.2183,430688.7622
5,LS_16,8/25/08 0:00,946359.1311,1420797.969,288450.2724,433059.2348
6,LS_20,8/12/08 0:00,952516.0774,1423986.646,290326.9097,434031.1436
7,LS_21,8/25/08 0:00,954841.1786,1426758.011,291035.6006,434875.8557
8,LS_22,8/25/08 0:00,956742.3815,1429221.651,291615.0872,435626.7732
9,LS_23,8/25/08 0:00,957343.046,1429967.784,291798.1698,435854.1945
10,LS_25,8/29/07 0:00,972728.5219,1440945.521,296487.663,439200.2089
11,LS_26,8/25/08 0:00,973458.9813,1441153.428,296710.307,439263.5789
12,LS_27,8/25/08 0:00,975268.9291,1441597.985,297261.9791,439399.0799
13,LS_28,8/13/08 0:00,978672.6425,1441355.349,298299.431,439325.1244
14,LS_64,1/5/06 0:00,1196680.205,1109639.03,364748.1382,338217.9872
15,LS_65,1/5/06 0:00,1189277.658,1101440.161,362491.8418,335718.9718
16,LS_122,6/26/07 0:00,1227416.578,875046.2123,374116.5849,266714.094
17,LS_126,6/25/07 0:00,1228913.732,871629.8493,374572.9175,265672.7866
18,LS_133,8/9/06 0:00,453144.3366,1301567.484,138118.3982,396717.7818
19,LS_134,8/23/07 0:00,388553.7276,1109635.119,118431.18,338216.7951
20,LS_135,8/23/07 0:00,386727.5367,1094905.169,117874.557,333727.1062
21,LS_136,8/23/07 0:00,386269.4506,1094092.358,117734.9323,333479.3614
22,LS_139,1/19/06 0:00,761507.0891,977190.3865,232107.3682,297847.6393
23,LS_142,1/19/06 0:00,772205.7525,973507.61,235368.3209,296725.129
24,LS_143,1/19/06 0:00,774853.6726,973152.0054,236175.407,296616.7407
25,LS_144,1/19/06 0:00,774980.6126,973158.7343,236214.0983,296618.7917
26,LS_145,1/19/06 0:00,775073.8748,973168.1379,236242.5246,296621.6579
27,LS_146,1/19/06 0:00,775297.0642,973177.2777,236310.5527,296624.4437
28,LS_148,1/23/06 0:00,781200.7477,971064.2644,238109.9955,295980.3973
29,LS_149,1/23/06 0:00,781255.2622,970869.4067,238126.6115,295921.0046
30,LS_150,1/23/06 0:00,781780.1021,970363.609,238286.5827,295766.8375
31,LS_151,1/23/06 0:00,806810.4802,971826.789,245915.8422,296212.8148
32,LS_152,1/23/06 0:00,807406.574,971778.5098,246097.5316,296198.0993
33,LS_153,1/23/06 0:00,810469.9347,971226.7506,247031.244,296029.9231
34,LS_154,1/23/06 0:00,810758.526,971285.745,247119.2066,296047.9045
35,LS_155,1/23/06 0:00,810992.3009,971237.2918,247190.4612,296033.136
36,LS_156,2/13/06 0:00,813268.0467,969622.4788,247884.1086,295540.941
37,LS_157,2/13/06 0:00,813809.6497,969523.4466,248049.1892,295510.756
38,LS_158,2/13/06 0:00,814169.7146,969595.6974,248158.937,295532.778
39,LS_159,2/13/06 0:00,815897.0962,970289.0816,248685.4429,295744.1215
40,LS_161,2/13/06 0:00,819769.9006,973239.8654,249865.8737,296643.5205
41,LS_162,2/13/06 0:00,820586.8553,973450.9847,250114.8815,296707.8696
42,LS_163,2/13/06 0:00,820877.0615,973414.4372,250203.3364,296696.73
43,LS_164,2/13/06 0:00,822261.8585,973434.4644,250625.4225,296702.8342
44,LS_168,1/16/08 0:00,835780.702,972575.3576,254745.9661,296440.9785
45,LS_169,1/16/08 0:00,839295.8175,972924.4909,255817.3734,296547.3943
46,LS_170,1/16/08 0:00,840666.6732,973331.9916,256235.2102,296671.6005
47,LS_171,10/1/08 0:00,848667.6585,971931.5973,258673.9106,296244.7603
48,LS_174,10/1/08 0:00,849293.3822,971933.2055,258864.6312,296245.2505
49,LS_176,10/1/08 0:00,850137.6205,971903.0675,259121.955,296236.0645
50,LS_179,10/1/08 0:00,851381.8218,970974.5596,259501.1876,295953.0552
51,LS_180,10/1/08 0:00,851535.5483,971006.9511,259548.0434,295962.9282
52,LS_181,10/1/08 0:00,852133.7561,970828.6863,259730.3772,295908.5931
53,LS_182,10/1/08 0:00,852291.1369,970379.5012,259778.3468,295771.6814
54,LS_183,10/1/08 0:00,852998.6948,970252.1974,259994.0105,295732.8792
55,LS_184,10/1/08 0:00,853178.1209,970150.4701,260048.6996,295701.8727
56,LS_185,10/1/08 0:00,853318.5363,970121.3365,260091.4982,295692.9928
57,LS_186,10/1/08 0:00,853916.7659,969950.8944,260273.8386,295641.0421
58,LS_187,10/1/08 0:00,854127.2133,969798.483,260337.9829,295594.5871
59,LS_188,10/1/08 0:00,854307.8088,969762.1251,260393.0285,295583.5052
60,LS_189,10/1/08 0:00,854544.0391,969624.6943,260465.0315,295541.6163
61,LS_190,5/6/08 0:00,860001.2482,971536.8585,262128.3888,296124.4439
62,LS_191,8/17/07 0:00,862116.1743,973112.2944,262773.0183,296604.6368
63,LS_192,6/28/06 0:00,940128.8805,980886.6306,286551.2919,298974.2546
64,LS_209,7/19/07 0:00,1369406.078,245521.0719,417394.9859,74834.82511
65,LS_210,7/20/07 0:00,1372190.576,95135.04001,418243.7009,28997.16112
66,LS_241,9/17/07 0:00,1035039.449,1348486.259,315480.0342,411018.6249
67,LS_242,9/18/07 0:00,1037399.005,1338184.803,316199.2268,407878.741
68,LS_246,9/25/07 0:00,1044935.073,1405302.499,318496.2204,428336.2154
69,LS_247,9/25/07 0:00,1053960.21,1422340.76,321247.0823,433529.4775
70,LS_248,9/25/07 0:00,1053887.143,1432621.587,321224.8115,436663.0737
71,LS_250,9/25/07 0:00,1055422.997,1439952.866,321692.9398,438897.6476
72,LS_251,9/25/07 0:00,1056384.897,1443496.894,321986.1269,439977.8674
73,LS_253,9/25/07 0:00,1056328.545,1443362.293,321968.9508,439936.841
74,LS_257,7/25/06 0:00,567807.943,1200394.115,173067.8666,365880.138
75,LS_258,6/14/06 0:00,635852.0482,1170627.187,193807.7105,356807.178
76,LS_259,6/14/06 0:00,641473.9987,1170114.842,195521.2811,356651.0153
77,LS_260,7/25/06 0:00,469932.1988,1234117.087,143235.3388,376158.9002
78,LS_261,10/17/07 0:00,1688944.769,1510682.894,514790.3821,460456.1608
79,LS_262,10/17/07 0:00,1695729.259,1513628.408,516858.2947,461353.9535
80,LS_263,10/17/07 0:00,1697295.205,1514154.999,517335.595,461514.4585
81,LS_264,10/17/07 0:00,1698692.126,1513092.386,517761.3766,461190.574
82,LS_265,10/17/07 0:00,1699886.884,1512515.644,518125.5388,461014.783
83,LS_266,10/17/07 0:00,1700547.804,1512442.887,518326.9872,460992.6067
84,LS_267,10/17/07 0:00,1701164.648,1512746.053,518515.0013,461085.0117
85,LS_268,10/17/07 0:00,1701331.963,1512774.573,518565.9989,461093.7046
86,LS_269,10/17/07 0:00,1701440.589,1512775.584,518599.1081,461094.0128
87,LS_270,10/17/07 0:00,1701612.874,1512679.481,518651.6206,461064.7206
88,LS_271,10/17/07 0:00,1701934.208,1512573.735,518749.5632,461032.4892
89,LS_272,10/17/07 0:00,1702006.016,1511233.013,518771.4503,460623.8371
90,LS_273,10/17/07 0:00,1702690.006,1510770.504,518979.9304,460482.8644
91,LS_275,10/17/07 0:00,1702914.928,1509881.58,519048.4867,460211.9203
92,LS_276,10/17/07 0:00,1702858.952,1509301.964,519031.4252,460035.2533
93,LS_277,10/17/07 0:00,1704426.577,1508140.481,519509.2373,459681.2333
94,LS_278,10/17/07 0:00,1712384.271,1505929.681,521934.7425,459007.3815
95,LS_279,10/17/07 0:00,1712580.105,1505961.572,521994.4327,459017.1018
96,LS_280,10/17/07 0:00,1712889.248,1505715.911,522088.6595,458942.2244
97,LS_281,10/17/07 0:00,1713535.325,1504831.774,522285.5838,458672.7394
98,LS_282,10/17/07 0:00,1714139.432,1504226.217,522469.7156,458488.1656
99,LS_283,10/17/07 0:00,1714950.447,1503448.13,522716.913,458251.0047
100,LS_284,10/17/07 0:00,1715340.907,1503050.208,522835.9252,458129.7181
101,LS_285,10/17/07 0:00,1717156.417,1502001.622,523389.2927,457810.109
102,LS_287,10/17/07 0:00,1718703.936,1500205.602,523860.9765,457262.6821
103,LS_288,10/17/07 0:00,1719416.447,1499518.008,524078.1498,457053.1035
