,X,Y,Long,Lat,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,X_new,Y_new
0,-123.961082748,45.0870077665,418748.1098,1235199.997,,,,,,28.17629,,,,-2167307.51802,2776559.27797
1,-123.956742865,45.0862302095,419855.9939,1234869.575,,,,,,33.57044,,,,-2167005.97115,2776377.51997
2,-123.952957631,45.0827411835,420779.2306,1233557.608,,,,,,34.79674,,,,-2166833.61626,2775919.70918
3,-123.937868855,45.0804152314,424637.3884,1232546.906,,,,,,39.46535,,,,-2165772.86206,2775328.08759
4,-123.959902335,45.0791987999,418932.7571,1232342.823,,,,,,35.69699,,,,-2167470.61622,2775700.89373
5,-123.965300781,45.0762625538,417494.4515,1231332.121,,,,,,34.65745,,,,-2167971.70891,2775511.39314
6,-123.995196984,45.0899856011,409991.9381,1236657.74,,,,,,45.54427,,,,-2169778.69053,2777654.76801
7,-124.003416115,45.0838673503,407776.17,1234519.718,,,,,,35.24213,,,,-2170594.86275,2777191.10412
8,-123.914460268,45.0672071391,430478.0755,1227483.682,,,,,,19.29394,,,,-2164436.18448,2773388.2567
9,-123.974482906,45.0736394762,415084.3176,1230476.912,,,,,,41.33059,,,,-2168747.53613,2775441.61009
10,-123.939990099,45.11180872,424569.3604,1244004.76,,,,,,26.35807,,,,-2164920.43063,2778719.18122
11,-123.942944424,45.1006218684,423636.4054,1239961.955,,,,,,25.5691,,,,-2165503.39624,2777595.36064
12,-123.876412483,45.0836905024,440546.2152,1233081.412,,,,,,22.30194,,,,-2161040.92798,2774277.8447
13,-123.862542769,45.127357428,444777.1662,1248840.577,,,,,,49.53107,,,,-2158592.73717,2778613.18028
14,-123.819945127,45.1419347237,455976.454,1253703.426,,,,,,21.68102,,,,-2154919.50326,2779198.95778
15,-123.859837572,45.1695074949,446103.3976,1264165.919,,,,,,36.75171,,,,-2157034.25978,2783040.41769
16,-123.78903517,45.1209713523,463639.1246,1245746.037,,,,,,17.73002,,,,-2153266.14927,2776265.39727
17,-123.740192037,45.1365050431,476459.3619,1250903.604,,,,,,21.72427,,,,-2149092.40837,2776814.58512
18,-123.759315843,45.2023088273,472480.6676,1275070.487,,,,,,35.28288,,,,-2148423.82926,2784256.70831
19,-123.822424335,45.1952608353,456123.813,1273154.821,,,,,,32.83259,,,,-2153394.14602,2784934.42439
20,-123.701056651,45.1626713425,486921.8545,1260039.865,,,,,,28.12558,,,,-2145310.45779,2778718.09664
21,-123.680805065,45.1478575002,491932.0622,1254440.22,,,,,,19.37617,,,,-2144259.91498,2776682.65651
22,-123.70421079,45.1265833202,485595.623,1246924.909,,,,,,16.50026,,,,-2146701.55596,2774944.25704
23,-123.69046245,45.2195923307,490458.4717,1280670.132,,,,,,12.33665,,,,-2142694.58403,2784543.28667
24,-123.724884251,45.2210683676,481616.9287,1281554.287,,,,,,7.14026,,,,-2145234.98467,2785477.08394
25,-123.740028182,45.2360176368,477932.9524,1287153.929,,,,,,35.14219,,,,-2145894.84527,2787411.31167
26,-123.634614593,45.2134283277,504752.2995,1277870.31,,,,,,31.14815,,,,-2138692.24784,2782628.54843
27,-123.682119303,45.3387369425,494289.807,1323993.693,,,,,,39.67804,,,,-2138262.33632,2797046.34106
28,-123.666878943,45.3431973245,498268.5013,1325467.283,,,,,,32.15603,,,,-2136976.22667,2797178.58675
29,-123.935606404,45.2708496746,428125.5936,1301889.835,,,,,,29.48738,,,,-2159465.17769,2795550.2026
30,-123.948530847,45.3821139989,426504.644,1342560.933,,,,,,39.86969,,,,-2156849.14919,2807684.29808
31,-123.855099615,45.562405006,453176.632,1407251.556,,,,,,35.7822,,,,-2144056.95955,2824751.81057
32,-123.894819901,45.5915913884,443450.9347,1418303.485,,,,,,11.23378,,,,-2146087.7043,2828753.02852
33,-123.649199275,45.4609657247,504457.5814,1368201.408,,,,,,40.23743,,,,-2131893.84914,2809323.15672
34,-123.592878888,45.5360759724,519930.2817,1395020.754,,,,,,36.39852,,,,-2125284.2144,2816059.45188
35,-123.557036288,45.5980825961,529950.697,1417271.97,,,,,,20.58125,,,,-2120631.25713,2821861.04929
36,-123.53217281,45.5963038614,536287.1361,1416387.817,,,,,,19.59532,,,,-2118828.22601,2821117.06783
37,-123.535223231,45.5448678431,534813.5457,1397673.218,,,,,,40.01842,,,,-2120689.36802,2815707.68781
38,-123.847978376,45.5884936967,455387.0178,1416682.534,,,,,,38.49499,,,,-2142687.21409,2827366.56258
39,-123.693674082,45.7351577193,496942.2699,1468552.921,,,,,,21.60684,,,,-2126472.44628,2839503.5321
40,-123.715561418,45.7341548004,491342.626,1468405.561,,,,,,17.63775,,,,-2128137.2047,2839886.7797
41,-123.741210571,45.7281911708,484711.4687,1466489.894,,,,,,42.08708,,,,-2130241.06799,2839827.0311
