X,Y,Northeast,North,Center,West_SLOPE,Northwest,SouthEast_,East,South,SouthWest
1285467.394028872251511,1454567.758530184626579,,2.61776,,,,,,,
1300566.281167984008789,1446574.309383198618889,,2.77631,,,,,,,
1316943.11023622751236,1435213.604986876249313,,14.03704,,,,,,,
1336731.661089241504669,1437168.63418635725975,,2.61776,,,,,,,
1342539.546916007995605,1437518.348097115755081,,29.72073,,,,,,,
1343657.723753273487091,1437772.278871387243271,,16.48400,,,,,,,
1346349.553149610757828,1438720.703083992004395,,29.74269,,,,,,,
1346935.047244101762772,1439020.405511811375618,,27.76812,,,,,,,
1665425.053149610757828,1524439.632217854261398,,10.23979,,,,,,,
1678224.475393697619438,1534044.926509186625481,,22.40951,,,,,,,
1678664.145997375249863,1534368.678149610757828,,19.06308,,,,,,,
891391.068241477012634,1398811.308398947119713,,,,,3.48691,,,,
903155.271325454115868,1401355.345472440123558,,,,,9.00091,,,,
928728.869750648736954,1411898.987204730510712,,,,,17.22582,,,,
932214.165026247501373,1414048.609580054879189,,,,,11.36972,,,,
938928.614173233509064,1418069.781167984008789,,24.02684,,,,,,,
946359.10170604288578,1421054.882217854261398,,27.73469,,,,,,,
946547.799212604761124,1421078.027230978012085,,24.38240,,,,,,,
947075.423884510993958,1420911.077427819371223,,34.27425,,,,,,,
941425.061023622751236,1419523.861548557877541,,25.39141,,,,,,,
952130.609251961112022,1424372.03740157186985,,16.88127,,,,,,,
954198.747375324368477,1427143.399278208613396,,17.42256,,,,,,,
955971.480971127748489,1429607.035761147737503,,8.27740,,,,,,,
956186.729002624750137,1429839.249671921133995,,7.36841,,,,,,,
958771.236548557877541,1431908.584973752498627,,0.00000,,,,,,,
972728.496062994003296,1441330.91174541413784,,19.52238,,,,,,,
973458.966863512992859,1441410.338582679629326,,24.15705,,,,,,,
975268.887467190623283,1441597.939304456114769,,11.20641,,,,,,,
978672.60728345811367,1441355.304133862257004,,12.04414,,,,,,,
981726.089238852262497,1440297.385498687624931,,17.52113,,,,,,,
984218.631233602762222,1439488.181430444121361,,14.44345,,,,,,,
994682.196850389242172,1439401.143044620752335,,14.17402,,,,,,,
998450.096784770488739,1438713.450459316372871,,23.35937,,,,,,,
1007293.95833332836628,1437691.461286082863808,,13.15671,,,,,,,
1009525.924868762493134,1439429.118110239505768,,12.16279,,,,,,,
1010210.262467190623283,1439799.662073493003845,,11.65302,,,,,,,
1020626.91732282936573,1441782.655839890241623,,18.64649,,,,,,,
1027028.621062994003296,1443410.250984251499176,,43.89226,,,,,,,
1035015.42585301399231,1443728.865485563874245,,16.48400,,,,,,,
1035408.05511811375618,1443834.030839890241623,,24.78677,,,,,,,
1036506.60728345811367,1444284.541010499000549,,0.00000,,,,,,,
1035931.670931756496429,1444009.091535434126854,,10.30200,,,,,,,
1036031.352034121751785,1444129.758858263492584,,15.63011,,,,,,,
1036643.88976377248764,1444218.554133862257004,,8.90185,,,,,,,
1039160.685695543885231,1444277.559711292386055,,20.63618,,,,,,,
1679692.361548557877541,1534918.5501968562603,,20.91788,,,,,,,
1681009.881233602762222,1535645.423556432127953,,21.40004,,,,,,,
1686424.531167984008789,1538326.611220479011536,,14.44345,,,,,,,
1688411.552821516990662,1539324.858923882246017,,22.60651,,,,,,,
1690347.864829391241074,1540647.583661422133446,,8.53625,,,,,,,
1693380.822506561875343,1543469.929133862257004,,18.49298,,,,,,,
1695548.563320204615593,1546013.855314955115318,,22.11894,,,,,,,
1696729.984580054879189,1548278.742454066872597,,29.58390,,,,,,,
1698272.270013123750687,1551193.31496062874794,,16.45554,,,,,,,
1202435.119422569870949,1142479.382545933127403,,,9.49062,,,,,,
1202390.661417320370674,1142488.204396322369576,,,11.04696,,,,,,
1201782.734580054879189,1140269.578740164637566,,,10.30521,,,,,,
1201980.125,1133936.123687669634819,,,35.66505,,,,,,
1201969.630249351263046,1133314.885170608758926,,,18.14515,,,,,,
1201659.431758522987366,1131235.327427819371223,,,31.93139,,,,,,
1201513.44914698600769,1130661.624671921133995,,,12.92550,,,,,,
