X,Y,REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,DATE,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,Annual_Cos,Repair_Cos
1285467.394028872251511,1454567.758530184626579,ODOT2011,LS_0,Oregon Department of Transportation, ,SL002-0116-92RE1,Matties Hump,6/20/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Fatality", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:116.92;Frequency:every 5 yrs or less;",47.6800003051758,1285220
1300566.281167984008789,1446574.309383198618889,ODOT2011,LS_1,Oregon Department of Transportation, ,SL002-0120-30RE1, ,6/20/2007,0,0,0,0, ,Debris Flow, , ,0,0, ,"Road Impact: ;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:120.3;Frequency:every yr;min site measured by truck",237.110000610352,98678.6015625
1316943.11023622751236,1435213.604986876249313,ODOT2011,LS_2,Oregon Department of Transportation, ,SL002-0124-20RE1,Phillipi Canyon,3/29/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:4; Other Damage:Property Damage", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:124.2;Frequency:every yr;",47.6800003051758,13793600
1336731.661089241504669,1437168.63418635725975,ODOT2011,LS_3,Oregon Department of Transportation, ,SL002-0127-71RE1, ,6/20/2007,0,0,0,0, ,Debris Flow, , ,0,0, ,"Road Impact: ;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:127.71;Frequency: ;debris flow splatter site",246.259994506836,98678.6015625
1342539.546916007995605,1437518.348097115755081,ODOT2011,LS_4,Oregon Department of Transportation, ,SL002-0129-07RE1,Blalock Canyon RF West,6/21/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.07;Frequency:every 2 yrs;",47.6800003051758,2592600
1343657.723753273487091,1437772.278871387243271,ODOT2011,LS_5,Oregon Department of Transportation, ,SL002-0129-29RE1,Blalock Canyon East,6/21/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.29;Frequency:every 1 to 2 yrs;",47.6800003051758,2585750
1346349.553149610757828,1438720.703083992004395,ODOT2011,LS_6,Oregon Department of Transportation, ,SL002-0129-83RE1, ,6/21/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.83;Frequency:every 5 yrs or less;",47.6800003051758,81971.203125
1346935.047244101762772,1439020.405511811375618,ODOT2011,LS_7,Oregon Department of Transportation, ,SL002-0129-95RE1, ,6/21/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;Other Impact:eastern of two adjacent slopes;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.95;Frequency:every 5 yrs or less;",47.6800003051758,158070
1665425.053149610757828,1524439.632217854261398,ODOT2011,LS_8,Oregon Department of Transportation, ,SL002-0194-66RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:194.66;Frequency:5 times or more a yr;",288.429992675781,13185.599609375
1678224.475393697619438,1534044.926509186625481,ODOT2011,LS_9,Oregon Department of Transportation, ,SL002-0197-75RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF fills lane;Lanes Affected:2; Other Damage:Fatality", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:197.75;Frequency:5 times or more a yr;section collected on opposite side, western  half of cont. slope",9059.490234375,810395
1678664.145997375249863,1534368.678149610757828,ODOT2011,LS_10,Oregon Department of Transportation, ,SL002-0197-85RE1, ,10/16/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF fills lane;Lanes Affected:2; Other Damage:Fatality", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:197.85;Frequency:5 times or more a yr;eastern half of single slope, section collected on opposite side",3678.27001953125,1337660
891391.068241477012634,1398811.308398947119713,ODOT2011,LS_11,Oregon Department of Transportation, ,SL002-0030-07LW1, ,8/13/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:30.08;Frequency:every 5 yrs or less;",0,0
903155.271325454115868,1401355.345472440123558,ODOT2011,LS_12,Oregon Department of Transportation, ,SL002-0032-37LW1, ,8/13/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:32.38;Frequency:every 5 yrs or less;",0,0
928728.869750648736954,1411898.987204730510712,ODOT2011,LS_13,Oregon Department of Transportation, ,SL002-0037-72RE1, ,8/29/2007,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF fills lane;Lanes Affected:4; Other Damage:Injury", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:37.72;Frequency:every 5 yrs or less;gps from center of  rd",1222.05004882812,957838
932214.165026247501373,1414048.609580054879189,ODOT2011,LS_14,Oregon Department of Transportation, ,SL002-0038-51RE1, ,8/12/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS close 3-10mi det;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:38.53;Frequency:every 5 yrs or less;",0,0
938928.614173233509064,1418069.781167984008789,ODOT2011,LS_15,Oregon Department of Transportation, ,SL002-0039-99RE1, ,8/12/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:40.09;Frequency:every yr;",163.085006713867,78621.3984375
946359.10170604288578,1421054.882217854261398,ODOT2011,LS_16,Oregon Department of Transportation, ,SL002-0041-58LE1, ,8/25/2008,0,0,0,0, ,Landslide, , ,0,0, ,"Road Impact:LS close 3-10mi det;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.58;Frequency:every 5 yrs or less;on exit 41",0,0
946547.799212604761124,1421078.027230978012085,ODOT2011,LS_17,Oregon Department of Transportation, ,SL002-0041-62RE1, ,8/25/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.62;Frequency:every yr;on exit 41",0,0
947075.423884510993958,1420911.077427819371223,ODOT2011,LS_18,Oregon Department of Transportation, ,SL002-0041-70RE1, ,8/12/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF on roadway;Lanes Affected:1;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.71;Frequency:every yr;off  ramp east bound",1222.2900390625,43737.6015625
941425.061023622751236,1419523.861548557877541,ODOT2011,LS_19,Oregon Department of Transportation, ,SL002-0042-58LW1, ,8/12/2008,0,0,0,0, ,Rockfall, , ,0,0, ,"Road Impact:RF onto shoulder;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:42.62;Frequency:every yr;",608.789978027344,46047.8984375
952130.609251961112022,1424372.03740157186985,ODOT2011,LS_20,Oregon Department of Transportation, ,SL002-0042-90BB1, ,8/12/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:3;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:42.92;Frequency:every 5 yrs or less;settlement induced ridge across road, also above culvert",0,0
954198.747375324368477,1427143.399278208613396,ODOT2011,LS_21,Oregon Department of Transportation, ,SL002-0043-41LW1, ,8/25/2008,0,0,0,0, ,Fill Failure, , ,0,0, ,"Road Impact:LS leaves 1-way traf;Lanes Affected:2;", ," Hwy Name:Columbia River; Hwy Number:002;Mile Post:43.41;Frequency:every 5 yrs or less;",0,0
