UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS_x,maxdewpti,maxhumidity,maxtempi,maxwspdi,meandewpti,meantempi,meanwdird,meanwindspdi,mindewpti,minhumidity,mintempi,minwspdi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_1,-120.5460735,45.71837263,6/20/07 0:00,Debris Flow,53,70,91,21,49,74,313,9,44,20,57,0,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,81,2.77631
LS_3,-120.4045435,45.69255134,6/20/07 0:00,Debris Flow,53,70,91,21,49,74,313,9,44,20,57,0,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,2.61776
LS_11,-122.1438657,45.57584914,8/13/08 0:00,Fill Failure,59,93,87,12,56,72,261,2,54,37,56,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,fine grained sediments,82,3.48691
LS_12,-122.0981295,45.58346126,8/13/08 0:00,Fill Failure,57,77,64,0,57,,-1,0,57,77,64,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,fine grained sediments,41,9.00091
LS_14,-121.9855573,45.61976012,8/12/08 0:00,Fill Failure,61,78,78,17,61,68,240,6,61,54,68,0,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,43,11.36972
LS_16,-121.9307659,45.63965884,8/25/08 0:00,Landslide,55,82,66,10,54,60,250,9,52,60,60,8,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,42,27.73469
LS_20,-121.9084294,45.64902748,8/12/08 0:00,Fill Failure,61,78,78,17,61,68,240,6,61,54,68,0,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,43,16.88127
LS_21,-121.9005292,45.65672302,8/25/08 0:00,Fill Failure,55,82,66,10,54,60,250,9,52,60,60,8,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,42,17.42256
LS_22,-121.8937617,45.66356053,8/25/08 0:00,Fill Failure,55,82,66,10,54,60,250,9,52,60,60,8,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,41,8.2774
LS_23,-121.8929354,45.66420723,8/25/08 0:00,Fill Failure,55,82,66,10,54,60,250,9,52,60,60,8,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,41,7.36841
LS_25,-121.8289779,45.69646672,8/29/07 0:00,Landslide,50,56,66,23,50,,90,23,50,56,66,23,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,41,19.52238
LS_26,-121.8261249,45.69671688,8/25/08 0:00,Fill Failure,55,82,66,10,54,60,250,9,52,60,60,8,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,81,24.15705
LS_27,-121.8190551,45.69731118,8/25/08 0:00,Fill Failure,55,82,66,10,54,60,250,9,52,60,60,8,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,andesite,41,11.20641
LS_28,-121.8057224,45.69679511,8/13/08 0:00,Landslide,57,77,64,0,57,,-1,0,57,77,64,0,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,andesite,81,12.04414
LS_64,-120.946592,44.79584923,1/5/06 0:00,Landslide,36,76,58,16,33,46,178,8,31,43,34,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,52,8.28
LS_65,-120.9704507,44.7700896,1/5/06 0:00,Fill Failure,36,76,58,16,33,46,178,8,31,43,34,0,0,Tjt,John Day Formation,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,No data,tuff,90,1.30998
LS_122,-120.8260514,44.14980857,6/26/07 0:00,Fill Failure,32,52,84,22,27,61,326,8,21,14,37,0,0,Qls,Basalt flow and unconsolidated sedmentary deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,82,9.04347
LS_126,-120.8178384,44.13869547,6/25/07 0:00,Fill Failure,31,92,73,14,23,51,320,6,12,11,29,0,0,Tcr1,Basalt of Columbia River Group,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,No data,basalt,82,4.79289
LS_133,-123.8353199,45.27041742,8/9/06 0:00,Fill Failure,61,78,82,15,57,71,290,4,55,42,59,0,T,Qf,Fluvial and estuarine deposits,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,82,13.75558
LS_134,-124.0560686,44.7392364,8/23/07 0:00,Landslide,59,100,66,22,55,58,29,6,50,77,50,0,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,mixed grained sediments,52,3.48787
LS_135,-124.0617211,44.69899955,8/23/07 0:00,Landslide,59,100,66,22,55,58,29,6,50,77,50,0,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,mixed grained sediments,42,8.53482
LS_136,-124.062345,44.69652776,8/23/07 0:00,Landslide,59,100,66,22,55,58,29,6,50,77,50,0,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,No data,mixed grained sediments,71,9.17064
LS_139,-122.6085979,44.4111624,1/19/06 0:00,Landslide,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,42,17.6542
LS_142,-122.5670737,44.40220879,1/19/06 0:00,Fill Failure,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,42,25.84166
LS_143,-122.5571518,44.40132338,1/19/06 0:00,Landslide,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,90,33.27682
LS_144,-122.5566668,44.40135056,1/19/06 0:00,Landslide,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,90,28.24667
LS_145,-122.5563109,44.40138276,1/19/06 0:00,Landslide,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,90,27.29243
LS_146,-122.5554579,44.40142316,1/19/06 0:00,Landslide,45,82,51,14,41,48,171,10,39,62,44,6,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,No data,mixed lithologies,43,28.86081
