,coolingdegreedays,coolingdegreedaysnormal,date.hour,date.mday,date.min,date.mon,date.pretty,date.tzname,date.year,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
1,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
2,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
3,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
4,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
5,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
6,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
7,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
8,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
9,0,,12,15,00,09,"12:00 PM MDT on September 15, 2010",America/Denver,2010,1,10,0,6,,,63,17,100,29.98,1015,64,18,10,16,8,13,57,14,29.96,1014,60,16,8,13,220,,1,2,55,13,83,29.92,1013,55,13,0,0,0,0,,,,,,,0.33,8.38,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
