Slope,precipi,Precip_Mon,Soil_Moist,Soil_Moist_Depth,Vegetation,Soil_Temp,maxwspdi,maxtempi,mintempi,maxhumidity,maxpressurei,AGE_NAME_Cretaceous,AGE_NAME_Eocene,AGE_NAME_Eocene/Miocene,AGE_NAME_Eocene/Oligocene,AGE_NAME_Jurassic,AGE_NAME_Jurassic/Cretaceous,AGE_NAME_Miocene,AGE_NAME_Miocene/Pleistocene,AGE_NAME_Miocene/Pliocene,AGE_NAME_Oligocene,AGE_NAME_Oligocene/Miocene,AGE_NAME_Paleocene/Eocene,AGE_NAME_Pleistocene,AGE_NAME_Pliocene,AGE_NAME_Pliocene/Pleistocene,AGE_NAME_Quaternary,AGE_NAME_Recent,AGE_NAME_no data,GEO_GENL_U_intrusive rocks,GEO_GENL_U_invasive extrusive rocks,GEO_GENL_U_marine sedimentary rocks,GEO_GENL_U_marine volcanic rocks,GEO_GENL_U_melange rocks,GEO_GENL_U_metamorphic rocks,GEO_GENL_U_no data,GEO_GENL_U_sediments,GEO_GENL_U_terrestrial sedimentary rocks,GEO_GENL_U_vent and pyroclastic rocks,GEO_GENL_U_volcanic rocks,GEO_GENL_U_volcaniclastic rocks,COVERAGE_Barren Land,COVERAGE_Cultivated Crops,COVERAGE_Deciduous Forest,"COVERAGE_Developed, High","COVERAGE_Developed, Low","COVERAGE_Developed, Medium","COVERAGE_Developed, Open",COVERAGE_Evergreen Forest,COVERAGE_Grassland,COVERAGE_Herbaceous Wetlands,COVERAGE_Mixed Forest,COVERAGE_Open Water,COVERAGE_Pasture/Hay,COVERAGE_Shrub,COVERAGE_Woody Wetlands
65.16701,0.0,11.3664,21.4749,21.470001,0.33800003,287.58,21,91,57,70,30.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.184,0.0,13.2992,19.6309,19.630001,0.33800003,288.81998,21,91,57,70,30.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22.57697,0.0,70.784,17.742199,17.83,0.87500006,286.53003,12,87,56,93,30.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.41615,0.0,70.784,17.742199,17.83,0.87500006,286.53003,0,64,64,77,30.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.85429,0.0,60.5696,20.3662,20.4,0.88400006,287.53003,17,78,68,78,30.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.56283,0.0,55.9104,22.746199,22.98,0.88500005,285.18005,10,66,60,82,29.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.50932,0.0,55.9104,22.746199,22.98,0.88500005,285.18005,17,78,68,78,30.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.88403,0.0,55.9104,22.746199,22.98,0.88500005,285.18005,10,66,60,82,29.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.20641,0.0,53.9904,23.059,23.57,0.88500005,283.92004,10,66,60,82,29.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.04414,0.0,38.7584,22.067799,22.449999,0.87500006,284.55005,0,64,64,77,30.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
