UNIQUE_ID,SLIDE,Long,Lat,DATE,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,Root_Moist,Precip_Mon,Soil_Moist,Soil_Moist_Depth,Soil_Temp,Vegetation,Slope,COVERAGE
LS_1,1,-120.5475817,45.71766743,6/20/07 0:00,53,70,30.01,91,21,44,20,29.85,57,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,238.6554,11.3664,21.4749,21.470001,287.58,0.33800003,65.16701,52
LS_3,1,-120.406054,45.69114335,6/20/07 0:00,53,70,30.01,91,21,44,20,29.85,57,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,223.16739,13.2992,19.6309,19.630001,288.81998,0.33800003,43.184,11
LS_11,1,-122.1427822,45.57304517,8/13/08 0:00,59,93,30.06,87,12,54,37,29.93,56,0,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,350.06287,70.784,17.742199,17.83,286.53003,0.87500006,22.57697,52
LS_12,1,-122.0965562,45.58101599,8/13/08 0:00,57,77,30.06,64,0,57,77,30.06,64,0,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,350.06287,70.784,17.742199,17.83,286.53003,0.87500006,30.41615,42
LS_14,1,-121.9844807,45.61695475,8/12/08 0:00,61,78,30.01,78,17,61,54,29.98,68,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,mixed lithologies,volcanic,410.37646,60.5696,20.3662,20.4,287.53003,0.88400006,43.85429,42
LS_16,1,-121.9307484,45.63895431,8/25/08 0:00,55,82,29.96,66,10,52,60,29.93,60,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,mixed lithologies,volcanic,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005,41.56283,42
LS_20,1,-121.9068968,45.64798881,8/12/08 0:00,61,78,30.01,78,17,61,54,29.98,68,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005,31.50932,42
LS_21,1,-121.8979919,45.65569626,8/25/08 0:00,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005,15.88403,42
LS_22,1,-121.8907218,45.6625396,8/25/08 0:00,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005,11.37468,41
LS_23,1,-121.8884224,45.66461322,8/25/08 0:00,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005,8.88109,21
