,UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos
2414,LS_2414,-123.9236008,45.67174891,6/14/05 0:00,Fill Failure,351.5700073,0
2415,LS_2415,-123.9233947,45.66992629,6/15/05 0:00,Fill Failure,426.3800049,0
2416,LS_2416,-123.9237577,45.66902881,6/15/05 0:00,Fill Failure,0,0
2417,LS_2417,-123.9248102,45.66839786,6/15/05 0:00,Fill Failure,0,0
2419,LS_2419,-123.9275911,45.66401306,6/15/05 0:00,Fill Failure,0,0
2421,LS_2421,-123.9281265,45.66264922,6/15/05 0:00,Landslide,3193,0
2422,LS_2422,-123.9285231,45.66130804,6/15/05 0:00,Fill Failure,1382.959961,0
2423,LS_2423,-123.9293335,45.65874278,6/15/05 0:00,Fill Failure,0,0
2424,LS_2424,-123.9295929,45.65807572,6/15/05 0:00,Fill Failure,0,0
2425,LS_2425,-123.9296393,45.65652083,6/15/05 0:00,Fill Failure,0,0
2426,LS_2426,-123.9299788,45.6549818,6/15/05 0:00,Fill Failure,0,0
2427,LS_2427,-123.9305758,45.65390228,6/15/05 0:00,Fill Failure,0,0
2428,LS_2428,-123.930817,45.65330801,6/15/05 0:00,Fill Failure,0,0
2429,LS_2429,-123.9314279,45.65239939,6/15/05 0:00,Landslide,703.1400146,0
2430,LS_2430,-123.9316673,45.65159782,6/15/05 0:00,Fill Failure,0,0
2431,LS_2431,-123.931794,45.65049496,6/15/05 0:00,Fill Failure,0,0
2433,LS_2433,-124.1135258,43.03246482,1/16/01 0:00,Landslide,0,0
2434,LS_2434,-124.1135258,43.03246482,1/16/01 0:00,Landslide,0,0
2435,LS_2435,-124.1135258,43.03246482,1/16/01 0:00,Landslide,0,0
2436,LS_2436,-122.5351011,42.4026882,12/2/04 0:00,Fill Failure,600,389567
2437,LS_2437,-122.5330026,42.40209956,12/2/04 0:00,Fill Failure,0,95000
2438,LS_2438,-122.5272082,42.40103008,12/2/04 0:00,Fill Failure,300,329300
2439,LS_2439,-122.5226286,42.40025824,12/2/04 0:00,Fill Failure,0,8606
2440,LS_2440,-122.5202133,42.39985861,12/2/04 0:00,Fill Failure,0,92000
2441,LS_2441,-122.5154652,42.39843912,12/2/04 0:00,Fill Failure,300,679500
2446,LS_2446,-122.4746342,42.38964912,11/15/04 0:00,Fill Failure,600,6077
2448,LS_2448,-122.4728258,42.38935362,11/15/04 0:00,Landslide,1200,600600
2450,LS_2450,-122.4697166,42.38943829,11/16/04 0:00,Landslide,600,12610
2452,LS_2452,-122.4591218,42.3891733,11/16/04 0:00,Landslide,1200,252723
2453,LS_2453,-122.4569933,42.39023744,11/16/04 0:00,Landslide,600,144797
2455,LS_2455,-122.455933,42.39091388,11/16/04 0:00,Fill Failure,1200,90610
2457,LS_2457,-122.4532301,42.39074588,11/17/04 0:00,Landslide,0,79300
2458,LS_2458,-122.4472255,42.38941862,11/16/04 0:00,Fill Failure,1200,94432
2459,LS_2459,-122.4454586,42.38867744,11/16/04 0:00,Landslide,1200,91195
2460,LS_2460,-122.4437735,42.3881215,11/16/04 0:00,Landslide,1200,91195
2461,LS_2461,-122.4420745,42.38792698,11/16/04 0:00,Landslide,2000,246600
2462,LS_2462,-122.4408394,42.38814849,11/17/04 0:00,Fill Failure,0,29250
