X,Y,UNIQUE_ID,TYPE_MOVE,Annual_Cos,Repair_Cos
391810.4617,443352.2529,LS_0, ,47.68000031,1285220
396412.6024,440915.8494,LS_1, ,237.1100006,98678.60156
401404.2599,437453.1068,LS_2, ,47.68000031,13793600
407435.8103,438048.9996,LS_3, ,246.2599945,98678.60156
409206.0539,438155.5925,LS_4, ,47.68000031,2592600
409546.8743,438232.9906,LS_5, ,47.68000031,2585750
410367.3438,438522.0703,LS_6, ,47.68000031,81971.20313
410545.8023,438613.4197,LS_7, ,47.68000031,158070
507621.5562,464649.1998,LS_8, ,288.4299927,13185.59961
511522.82,467576.8937,LS_9, ,9059.490234,810395
511656.8317,467675.5731,LS_10, ,3678.27002,1337660
271695.9976,426357.6867,LS_11, ,0,0
275281.7267,427133.1092,LS_12, ,0,0
283076.5595,430346.8112,LS_13, ,1222.050049,957838
284138.8775,431002.0163,LS_14, ,0,0
286185.4416,432227.6692,LS_15, ,163.0850067,78621.39844
288450.2542,433137.528,LS_16, ,0,0
288507.7692,433144.5826,LS_17, ,0,0
288668.5892,433093.6963,LS_18, ,1222.290039,43737.60156
286946.3586,432670.8731,LS_19, ,608.789978,46047.89844
290209.4097,434148.5969,LS_20, ,0,0
290839.7782,434993.308,LS_21, ,0,0
291380.1074,435744.2246,LS_22, ,0,0
291445.715,435815.0034,LS_23, ,0,0
292233.4729,436445.7367,LS_24, ,636.0100098,126809
296487.6456,439317.662,LS_25, ,8575.290039,4201770
296710.2931,439341.8713,LS_26, ,0,0
297261.9569,439399.0518,LS_27, ,0,0
298299.4107,439325.0967,LS_28, ,0,0
299230.112,439002.6429,LS_29, ,251.0800018,303703
299989.8388,438755.9976,LS_30, ,479.6499939,614945
303179.1336,438729.4684,LS_31, ,0,0
304327.5895,438519.8596,LS_32, ,0,0
307023.1984,438208.3573,LS_33, ,0,137662
307703.5019,438737.9952,LS_34, ,157.8249969,294308
307912.0879,438850.937,LS_35, ,157.8249969,78530.20313
311087.0843,439455.3535,LS_36, ,251.0800018,112461
313038.3237,439951.4445,LS_37, ,432.1499939,3048680
315472.7018,440048.5581,LS_38, ,367.1900024,148086
315592.3752,440080.6126,LS_39, ,240.5599976,1168700
315927.2138,440217.9281,LS_40, ,0,0
315751.9733,440133.9712,LS_41, ,240.5599976,108998
315782.3561,440170.7505,LS_42, ,0,0
315969.0577,440197.8153,LS_43, ,240.5599976,173132
316736.1771,440215.8003,LS_44, ,0,0
511970.2319,467843.174,LS_45, ,10914.40039,0
512371.8117,468064.7252,LS_46, ,10038,410484
514022.197,468881.951,LS_47, ,2384,273977
514627.8414,469186.217,LS_48, ,1192,517185
515218.0293,469589.3836,LS_49, ,4157.200195,205431
516142.4749,470449.6344,LS_50, ,10038,790299
516803.202,471225.023,LS_51, ,6205.379883,0
517163.2994,471915.3606,LS_52, ,7004.700195,3363410
517633.3879,472803.7224,LS_53, ,12088.2002,434663
366502.2243,348227.7159,LS_54, ,0,174007
366488.6735,348230.4046,LS_55, ,0,228169
366303.3776,347554.1677,LS_56, ,0,258335
366363.5421,345623.7306,LS_57, ,0,266141
366360.3432,345434.3769,LS_58, ,0,116635
366265.7949,344800.5277,LS_59, ,0,156092
366221.2993,344625.6633,LS_60, ,0,33939.39844
366141.5901,343914.9355,LS_61, ,0,194006
366068.389,343726.7767,LS_62, ,0,74250.10156
366008.8924,343522.668,LS_63, ,0,724556
364669.7908,338492.0885,LS_64, ,0,0
362765.9368,335640.6284,LS_65, ,0,0
361544.4877,334489.1037,LS_66, ,0,76129.29688
361322.5841,334619.7157,LS_67, ,0,80072.70313
361316.6853,334640.8353,LS_68, ,0,152050
360955.7784,334817.1079,LS_69, ,0,45519.60156
288622.2965,103377.125,LS_70, ,0,0
288551.9731,103074.5365,LS_71, ,0,0
288401.6079,102832.9919,LS_72, ,0,0
288163.5505,102691.8632,LS_73, ,0,0
287595.8681,102627.8166,LS_74, ,0,0
288695.6139,76039.55301,LS_75, ,640.0200195,1168660
288899.0009,75714.0801,LS_76, ,11394.2002,2055860
289819.8861,74768.69319,LS_77, ,3438.47998,709650
290265.7985,74158.4831,LS_78, ,2852.199951,2489990
291085.0274,72940.57551,LS_79, ,522.8200073,5567940
291442.0557,72116.78889,LS_80, ,2852.199951,1175350
291641.0838,71737.65969,LS_81, ,4083.919922,5690540
290580.3047,66577.4551,LS_82, ,4083.919922,3106540
291193.5329,65681.838,LS_83, ,946.9500122,829791
291339.4377,61837.04109,LS_84, ,1169.380005,1440710
292187.4525,57626.976,LS_85, ,571.8599854,549622
293144.9554,53987.83539,LS_86, ,2799.439941,250121
293393.2718,53319.05049,LS_87, ,9916.299805,116338
441582.6655,339460.4792,LS_88, ,2109.330078,690680
443980.5293,339750.9015,LS_89, ,1810.579956,1503190
447086.1669,340261.3918,LS_90, ,1810.579956,343498
454192.2943,342881.9665,LS_91, ,1515.390015,308064
462101.4998,340543.5848,LS_92, ,1810.579956,579352
462285.6325,340418.0563,LS_93, ,1810.579956,229717
462338.5531,340291.464,LS_94, ,1810.579956,246877
462276.8945,339104.838,LS_95, ,1413.089966,884451
468310.3709,320327.9811,LS_96, ,4589.120117,1293920
586546.5239,401938.5152,LS_97, ,0,0
602096.2233,230356.6575,LS_98, ,3891.439941,136555
614830.1565,229220.6942,LS_99, ,1688.290039,308706
615166.6203,229076.5461,LS_100, ,806.4400024,74015.60156
615575.4583,228846.8991,LS_101, ,1569.319946,435949
637402.827,240961.8291,LS_102, ,2745.199951,124559
637575.4407,241085.5442,LS_103, ,2581.879883,230665
562996.9566,458012.5938,LS_104, ,717.6099854,53483.39844
562996.9222,457998.2203,LS_105, ,717.6099854,85465.20313
563113.592,458503.3519,LS_106, ,1762.030029,1018030
563269.4387,459598.1054,LS_107, ,465.4500122,95239.89844
563260.9521,459607.1077,LS_108, ,465.4500122,80717.79688
614872.8763,430745.6594,LS_109, ,196.8500061,31097.40039
614936.6112,430556.9815,LS_110, ,1273.949951,63600.69922
615194.1694,430337.8474,LS_111, ,287.1669922,72687.29688
615288.9942,430212.0272,LS_112, ,287.1669922,85355.39844
615341.8297,430103.8454,LS_113, ,287.1669922,140729
615875.1578,430053.3245,LS_114, ,0,0
679805.7221,356493.9349,LS_115, ,2346.199951,238628
681566.5194,357838.4949,LS_116, ,2346.199951,245075
681643.8911,357909.7242,LS_117, ,2346.199951,188647
370028.8499,271378.3779,LS_118, ,3812.530029,130902
370034.5,271327.267,LS_119, ,1771.030029,503708
370099.3794,271173.3683,LS_120, ,1771.030029,70268.89844
373413.0104,267720.4351,LS_121, ,2683.820068,157989
373920.7634,266674.9172,LS_122, ,0,0
374332.7195,264963.6209,LS_123, ,1798.25,1491940
374266.9058,265139.0102,LS_124, ,1798.25,224518
374341.4084,265345.6965,LS_125, ,1798.25,348817
374572.8976,265437.8087,LS_126, ,0,0
374644.1486,265405.249,LS_127, ,2388.629883,75601
374752.4714,265321.6269,LS_128, ,0,73357.29688
376792.4268,262387.4014,LS_129, ,1798.25,110335
376884.3877,262448.1549,LS_130, ,1798.25,23314.59961
376939.2054,262471.3006,LS_131, ,1798.25,34915.69922
230983.5593,267542.7725,LS_132, ,3324.860107,699447
138353.3485,396443.6354,LS_133, ,0,186953
118491.1348,338203.3121,LS_134, ,20000,3599110
117850.0789,333756.4554,LS_135, ,0,0
117788.7736,333484.2345,LS_136, ,0,0
230368.6432,298090.9924,LS_137, ,0,384024
231849.061,297877.8175,LS_138, ,0,150310
232107.3558,297813.3557,LS_139, ,0,0
232287.5947,297687.1072,LS_140, ,315.6499939,33755.69922
235354.4978,296995.3725,LS_141, ,887.8099976,522624
235387.8849,296734.8993,LS_142, ,0,0
236175.3925,296616.7222,LS_143, ,0,0
236214.082,296618.7726,LS_144, ,0,0
236242.5128,296621.6389,LS_145, ,0,0
236310.5374,296624.4253,LS_146, ,0,0
237351.5126,296445.2599,LS_147, ,143.0399933,122147
238139.3469,295975.4839,LS_148, ,0,0
238151.0722,295916.0898,LS_149, ,0,0
238291.4635,295781.504,LS_150, ,0,0
245915.8265,296242.1664,LS_151, ,0,0
246112.1947,296227.4511,LS_152, ,0,0
247031.222,296049.484,LS_153, ,0,0
247119.1871,296072.3612,LS_154, ,0,0
247210.0257,296038.0127,LS_155, ,0,0
247898.7768,295555.6068,LS_156, ,0,0
248049.1731,295520.5267,LS_157, ,0,0
248154.022,295571.9195,LS_158, ,0,0
248636.4719,295744.1027,LS_159, ,0,0
249096.5515,295982.9455,LS_160, ,0,0
249890.3305,296516.2312,LS_161, ,0,0
250149.1345,296570.7898,LS_162, ,0,0
250154.3635,296564.5452,LS_163, ,0,0
250620.5148,296575.5438,LS_164, ,0,0
251067.1215,296476.62,LS_165, ,47.68000031,77366.5
251117.4916,296582.5428,LS_166, ,47.68000031,188200
252535.4267,296101.9158,LS_167, ,0,0
254745.9524,296338.1641,LS_168, ,0,0
255832.0393,296522.9005,LS_169, ,0,0
256230.297,296617.7367,LS_170, ,0,0
258673.8942,296186.0016,LS_171, ,0,0
258584.6368,296287.0171,LS_172, ,0,0
258904.7237,296239.4365,LS_173, ,0,0
258879.3045,296220.7558,LS_174, ,0,0
259021.9461,296255.7968,LS_175, ,0,0
259107.2553,296216.4656,LS_176, ,0,0
259309.6654,295960.2486,LS_177, ,0,0
259423.1445,295950.7627,LS_178, ,0,0
259501.1745,295933.4555,LS_179, ,0,0
259548.0261,295933.5389,LS_180, ,0,0
259686.3042,295869.4147,LS_181, ,0,0
259748.9567,295727.6072,LS_182, ,0,0
259989.1065,295703.4909,LS_183, ,0,0
260048.6857,295667.5888,LS_184, ,0,0
260081.6914,295639.1284,LS_185, ,0,0
260259.1371,295601.8628,LS_186, ,0,0
260337.9661,295570.0927,LS_187, ,0,0
260402.8044,295539.4301,LS_188, ,0,0
260455.2262,295507.3328,LS_189, ,0,0
262177.3187,296070.5804,LS_190, ,25000,4980190
262768.1083,296570.3526,LS_191, ,19834.5,332929
286517.004,298974.2362,LS_192, ,0,0
286552.3253,298843.9745,LS_193, ,0,0
286770.5941,298617.5758,LS_194, ,0,0
290320.9475,297655.0654,LS_195, ,134000,11316000
290878.456,297509.9966,LS_196, ,0,0
295325.7582,297974.7705,LS_197, ,0,0
299264.7387,297248.4199,LS_198, ,6130,1923540
299477.6582,297331.2393,LS_199, ,935.6799927,97029.39844
299545.583,297376.8411,LS_200, ,610.8800049,22103.5
299608.6426,297413.0706,LS_201, ,935.6799927,417042
299733.4678,297474.4059,LS_202, ,0,0
299846.159,297516.2098,LS_203, ,0,0
300279.188,297674.152,LS_204, ,0,0
300400.1806,297716.6044,LS_205, ,0,0
300519.5122,297748.7576,LS_206, ,0,0
