UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos
LS_0,-120.6052196,45.74025312,6/20/07,Rockfall,47.68000031,1285220
LS_1,-120.5460735,45.71837263,6/20/07,Debris Flow,237.1100006,98678.60156
LS_2,-120.4819746,45.68722788,3/29/07,Rockfall,47.68000031,13793600
LS_3,-120.4045435,45.69255134,6/20/07,Debris Flow,246.2599945,98678.60156
LS_4,-120.3818162,45.69348959,6/21/07,Rockfall,47.68000031,2592600
LS_5,-120.3774394,45.6941814,6/21/07,Rockfall,47.68000031,2585750
LS_6,-120.3669004,45.69677061,6/21/07,Rockfall,47.68000031,81971.20313
LS_7,-120.3646074,45.69758981,6/21/07,Rockfall,47.68000031,158070
LS_8,-119.1127801,45.92370253,10/16/07,Rockfall,288.4299927,13185.59961
LS_9,-119.0618427,45.94942969,10/16/07,Rockfall,9059.490234,810395
LS_10,-119.0600926,45.95029605,10/16/07,Rockfall,3678.27002,1337660
LS_11,-122.1438657,45.57584914,8/13/08,Fill Failure,0,0
LS_12,-122.0981295,45.58346126,8/13/08,Fill Failure,0,0
LS_13,-121.9990219,45.61369255,8/29/07,Rockfall,1222.050049,957838
LS_14,-121.9855573,45.61976012,8/12/08,Fill Failure,0,0
LS_15,-121.9596015,45.63111562,8/12/08,Rockfall,163.0850067,78621.39844
LS_16,-121.9307659,45.63965884,8/25/08,Landslide,0,0
LS_17,-121.9300299,45.63973131,8/25/08,Rockfall,0,0
LS_18,-121.9279563,45.63929875,8/12/08,Rockfall,1222.290039,43737.60156
LS_19,-121.9499456,45.63522373,8/12/08,Rockfall,608.789978,46047.89844
LS_20,-121.9084294,45.64902748,8/12/08,Fill Failure,0,0
LS_21,-121.9005292,45.65672302,8/25/08,Fill Failure,0,0
LS_22,-121.8937617,45.66356053,8/25/08,Fill Failure,0,0
LS_23,-121.8929354,45.66420723,8/25/08,Fill Failure,0,0
LS_24,-121.8829654,45.67000071,8/13/08,Rockfall,636.0100098,126809
LS_25,-121.8289779,45.69646672,8/29/07,Landslide,8575.290039,4201770
LS_26,-121.8261249,45.69671688,8/25/08,Fill Failure,0,0
LS_27,-121.8190551,45.69731118,8/25/08,Fill Failure,0,0
LS_28,-121.8057224,45.69679511,8/13/08,Landslide,0,0
LS_29,-121.79371,45.69402706,8/25/08,Rockfall,251.0800018,303703
LS_30,-121.7839085,45.69191567,8/26/08,Rockfall,479.6499939,614945
LS_31,-121.7429663,45.69211854,9/30/08,Rockfall,0,0
LS_32,-121.7281846,45.69038849,9/30/08,Rockfall,0,0
LS_33,-121.6935268,45.68794399,9/30/08,Rockfall,0,137662
LS_34,-121.6848932,45.69279704,9/30/08,Rockfall,157.8249969,294308
LS_35,-121.6822366,45.69384007,9/30/08,Rockfall,157.8249969,78530.20313
LS_36,-121.6415888,45.69968137,9/4/08,Rockfall,251.0800018,112461
LS_37,-121.6166258,45.70438541,9/5/08,Rockfall,432.1499939,3048680
LS_38,-121.5853875,45.70555269,9/4/08,Rockfall,367.1900024,148086
LS_39,-121.5838565,45.70585526,9/4/08,Rockfall,240.5599976,1168700
LS_40,-121.5795806,45.70713019,9/5/08,Rockfall,0,0
LS_41,-121.5818164,45.7063542,9/4/08,Rockfall,240.5599976,108998
LS_42,-121.5814325,45.70668865,9/5/08,Rockfall,0,0
LS_43,-121.5790399,45.70695421,9/4/08,Rockfall,240.5599976,173132
LS_44,-121.5691935,45.70720629,9/5/08,Rockfall,0,0
LS_45,-119.0560138,45.95175388,10/16/07,Rockfall,10914.40039,0
LS_46,-119.0507857,45.95368278,10/16/07,Rockfall,10038,410484
LS_47,-119.029317,45.96076856,10/16/07,Rockfall,2384,273977
LS_48,-119.0214363,45.96340713,10/16/07,Rockfall,1192,517185
LS_49,-119.0137311,45.96693713,10/16/07,Rockfall,4157.200195,205431
LS_50,-119.0016063,45.97452256,10/16/07,Rockfall,10038,790299
LS_51,-118.9929003,45.9813871,10/16/07,Rockfall,6205.379883,0
LS_52,-118.9880911,45.98753593,10/16/07,Rockfall,7004.700195,3363410
LS_53,-118.9818143,45.99544712,10/16/07,Rockfall,12088.2002,434663
LS_54,-120.9240652,44.88355847,1/4/06,Rockfall,0,174007
LS_55,-120.9242369,44.88358204,1/4/06,Rockfall,0,228169
LS_56,-120.9265381,44.87748728,1/4/06,Rockfall,0,258335
LS_57,-120.9256499,44.86011609,1/4/06,Rockfall,0,266141
LS_58,-120.9256779,44.85841175,1/4/06,Rockfall,0,116635
LS_59,-120.9268326,44.85270264,1/4/06,Rockfall,0,156092
