,UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos,coolingdegreedays,coolingdegreedaysnormal,heatingdegreedays,heatingdegreedaysnormal,maxdewpti,maxhumidity,maxtempi,maxwspdi,meandewpti,meantempi,meanwdird,meanwindspdi,mindewpti,minhumidity,mintempi,minwspdi,precipi
1,LS_1,-120.5460735,45.71837263,6/20/07 0:00,Debris Flow,237.1100006,98678.60156,8,,0,,53,70,91,21,49,74,313,9,44,20,57,0,0
3,LS_3,-120.4045435,45.69255134,6/20/07 0:00,Debris Flow,246.2599945,98678.60156,8,,0,,53,70,91,21,49,74,313,9,44,20,57,0,0
11,LS_11,-122.1438657,45.57584914,8/13/08 0:00,Fill Failure,0,0,7,5,0,1,59,93,87,12,56,72,261,2,54,37,56,0,0
12,LS_12,-122.0981295,45.58346126,8/13/08 0:00,Fill Failure,0,0,,,,,57,77,64,0,57,,-1,0,57,77,64,0,0
14,LS_14,-121.9855573,45.61976012,8/12/08 0:00,Fill Failure,0,0,3,,0,,61,78,78,17,61,68,240,6,61,54,68,0,0
16,LS_16,-121.9307659,45.63965884,8/25/08 0:00,Landslide,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
20,LS_20,-121.9084294,45.64902748,8/12/08 0:00,Fill Failure,0,0,3,,0,,61,78,78,17,61,68,240,6,61,54,68,0,0
21,LS_21,-121.9005292,45.65672302,8/25/08 0:00,Fill Failure,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
22,LS_22,-121.8937617,45.66356053,8/25/08 0:00,Fill Failure,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
23,LS_23,-121.8929354,45.66420723,8/25/08 0:00,Fill Failure,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
25,LS_25,-121.8289779,45.69646672,8/29/07 0:00,Landslide,8575.290039,4201770,,,,,50,56,66,23,50,,90,23,50,56,66,23,0
26,LS_26,-121.8261249,45.69671688,8/25/08 0:00,Fill Failure,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
27,LS_27,-121.8190551,45.69731118,8/25/08 0:00,Fill Failure,0,0,0,,5,,55,82,66,10,54,60,250,9,52,60,60,8,0
28,LS_28,-121.8057224,45.69679511,8/13/08 0:00,Landslide,0,0,,,,,57,77,64,0,57,,-1,0,57,77,64,0,0
64,LS_64,-120.946592,44.79584923,1/5/06 0:00,Landslide,0,0,0,0,19,33,36,76,58,16,33,46,178,8,31,43,34,0,0
65,LS_65,-120.9704507,44.7700896,1/5/06 0:00,Fill Failure,0,0,0,0,19,33,36,76,58,16,33,46,178,8,31,43,34,0,0
122,LS_122,-120.8260514,44.14980857,6/26/07 0:00,Fill Failure,0,0,0,2,4,4,32,52,84,22,27,61,326,8,21,14,37,0,0
126,LS_126,-120.8178384,44.13869547,6/25/07 0:00,Fill Failure,0,0,0,2,14,5,31,92,73,14,23,51,320,6,12,11,29,0,0
133,LS_133,-123.8353199,45.27041742,8/9/06 0:00,Fill Failure,0,186953,6,4,0,1,61,78,82,15,57,71,290,4,55,42,59,0,T
134,LS_134,-124.0560686,44.7392364,8/23/07 0:00,Landslide,20000,3599110,0,,7,,59,100,66,22,55,58,29,6,50,77,50,0,0
135,LS_135,-124.0617211,44.69899955,8/23/07 0:00,Landslide,0,0,0,,7,,59,100,66,22,55,58,29,6,50,77,50,0,0
136,LS_136,-124.062345,44.69652776,8/23/07 0:00,Landslide,0,0,0,,7,,59,100,66,22,55,58,29,6,50,77,50,0,0
139,LS_139,-122.6085979,44.4111624,1/19/06 0:00,Landslide,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
142,LS_142,-122.5670737,44.40220879,1/19/06 0:00,Fill Failure,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
143,LS_143,-122.5571518,44.40132338,1/19/06 0:00,Landslide,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
144,LS_144,-122.5566668,44.40135056,1/19/06 0:00,Landslide,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
145,LS_145,-122.5563109,44.40138276,1/19/06 0:00,Landslide,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
146,LS_146,-122.5554579,44.40142316,1/19/06 0:00,Landslide,0,0,0,,18,,45,82,51,14,41,48,171,10,39,62,44,6,8.42
148,LS_148,-122.5323012,44.39599336,1/23/06 0:00,Landslide,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
149,LS_149,-122.5321356,44.39546151,1/23/06 0:00,Landslide,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
150,LS_150,-122.5303318,44.39428168,1/23/06 0:00,Fill Failure,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
151,LS_151,-122.4347767,44.40008411,1/23/06 0:00,Landslide,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
152,LS_152,-122.4323075,44.39999331,1/23/06 0:00,Landslide,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
153,LS_153,-122.4207196,44.3985859,1/23/06 0:00,Fill Failure,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
154,LS_154,-122.4196222,44.39881028,1/23/06 0:00,Fill Failure,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
155,LS_155,-122.418472,44.39852029,1/23/06 0:00,Fill Failure,0,0,0,,26,,37,87,42,6,35,40,16,1,34,81,37,0,0
156,LS_156,-122.4096861,44.39432367,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
157,LS_157,-122.4077883,44.39403946,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
158,LS_158,-122.4064873,44.39452386,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
159,LS_159,-122.4004821,44.396174,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
161,LS_161,-122.3849671,44.40338254,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
162,LS_162,-122.3817341,44.40392695,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
163,LS_163,-122.3816666,44.40387183,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
164,LS_164,-122.3758182,44.40406682,2/13/06 0:00,Fill Failure,0,0,0,,18,,46,93,55,14,38,47,250,2,27,49,39,0,0.01
