UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_0,-120.6052196,45.74025312,6/20/07,Rockfall,47.68000031,1285220,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,2.61776
LS_1,-120.5460735,45.71837263,6/20/07,Debris Flow,237.1100006,98678.60156,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,81,2.77631
LS_2,-120.4819746,45.68722788,3/29/07,Rockfall,47.68000031,13793600,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,14.03704
LS_3,-120.4045435,45.69255134,6/20/07,Debris Flow,246.2599945,98678.60156,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,2.61776
LS_4,-120.3818162,45.69348959,6/21/07,Rockfall,47.68000031,2592600,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,42,29.72073
LS_5,-120.3774394,45.6941814,6/21/07,Rockfall,47.68000031,2585750,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,41,16.484
LS_6,-120.3669004,45.69677061,6/21/07,Rockfall,47.68000031,81971.20313,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,21,29.74269
LS_7,-120.3646074,45.69758981,6/21/07,Rockfall,47.68000031,158070,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,11,27.76812
LS_8,-119.1127801,45.92370253,10/16/07,Rockfall,288.4299927,13185.59961,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,71,10.23979
LS_9,-119.0618427,45.94942969,10/16/07,Rockfall,9059.490234,810395,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,82,22.40951
LS_10,-119.0600926,45.95029605,10/16/07,Rockfall,3678.27002,1337660,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,82,19.06308
LS_11,-122.1438657,45.57584914,8/13/08,Fill Failure,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,fine grained sediments,82,3.48691
LS_12,-122.0981295,45.58346126,8/13/08,Fill Failure,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,Columbia River alluvium,fine grained sediments,41,9.00091
LS_13,-121.9990219,45.61369255,8/29/07,Rockfall,1222.050049,957838,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,41,17.22582
LS_14,-121.9855573,45.61976012,8/12/08,Fill Failure,0,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,43,11.36972
LS_15,-121.9596015,45.63111562,8/12/08,Rockfall,163.0850067,78621.39844,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,21,24.02684
LS_16,-121.9307659,45.63965884,8/25/08,Landslide,0,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,42,27.73469
LS_17,-121.9300299,45.63973131,8/25/08,Rockfall,0,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,42,24.3824
LS_18,-121.9279563,45.63929875,8/12/08,Rockfall,1222.290039,43737.60156,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,41,34.27425
LS_19,-121.9499456,45.63522373,8/12/08,Rockfall,608.789978,46047.89844,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,No data,mixed lithologies,41,25.39141
LS_20,-121.9084294,45.64902748,8/12/08,Fill Failure,0,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,43,16.88127
LS_21,-121.9005292,45.65672302,8/25/08,Fill Failure,0,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,42,17.42256
LS_22,-121.8937617,45.66356053,8/25/08,Fill Failure,0,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,41,8.2774
LS_23,-121.8929354,45.66420723,8/25/08,Fill Failure,0,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,41,7.36841
LS_24,-121.8829654,45.67000071,8/13/08,Rockfall,636.0100098,126809,Qvb,"Basalt flows, unnamed",volcanic rocks,Pliocene/Pleistocene,Boring Volcanic Field,Northwest Cascade Volcanoes,No data,basalt,81,0
LS_25,-121.8289779,45.69646672,8/29/07,Landslide,8575.290039,4201770,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,41,19.52238
LS_26,-121.8261249,45.69671688,8/25/08,Fill Failure,0,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,81,24.15705
LS_27,-121.8190551,45.69731118,8/25/08,Fill Failure,0,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,andesite,41,11.20641
LS_28,-121.8057224,45.69679511,8/13/08,Landslide,0,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,No data,andesite,81,12.04414
