,coolingdegreedays,coolingdegreedaysnormal,date.hour,date.mday,date.min,date.mon,date.pretty,date.tzname,date.year,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,8,,12,20,00,06,"12:00 PM PDT on June 20, 2007",America/Los_Angeles,2007,0,24,0,0,,,53,12,70,30.01,1016,91,33,10,16,21,34,49,9,29.92,1013,74,23,10,16,313,,9,14,44,7,20,29.85,1011,57,14,10,16,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
1,8,,12,20,00,06,"12:00 PM PDT on June 20, 2007",America/Los_Angeles,2007,0,24,0,0,,,53,12,70,30.01,1016,91,33,10,16,21,34,49,9,29.92,1013,74,23,10,16,313,,9,14,44,7,20,29.85,1011,57,14,10,16,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
2,7,5,12,13,00,08,"12:00 PM PDT on August 13, 2008",America/Los_Angeles,2008,0,22,0,0,1,,59,15,93,30.06,1018,87,31,10,16,12,19,56,13,30.01,1016,72,22,10,16,261,,2,4,54,12,37,29.93,1013,56,13,10,16,0,0,55,65,4,8,0.00,0.00,0.00,0.00,,0,,,,,0.00,0.00,,,,,0,0.00,0.00,0.00,0.00,0,0
3,,,12,13,00,08,"12:00 PM PDT on August 13, 2008",America/Los_Angeles,2008,0,,0,,,,57,14,77,30.06,1018,64,18,10,16,0,0,57,14,30.06,1018,,,10,16,-1,,0,0,57,14,77,30.06,1018,64,18,10,16,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
4,3,,12,12,00,08,"12:00 PM PDT on August 12, 2008",America/Los_Angeles,2008,0,18,0,0,,,61,16,78,30.01,1016,78,26,10,16,17,27,61,16,30.00,1016,68,20,10,16,240,,6,10,61,16,54,29.98,1015,68,20,10,16,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
5,0,,12,25,00,08,"12:00 PM PDT on August 25, 2008",America/Los_Angeles,2008,0,10,0,5,,,55,13,82,29.96,1014,66,19,10,16,10,16,54,12,29.95,1014,60,16,10,16,250,,9,14,52,11,60,29.93,1013,60,16,10,16,8,13,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
6,3,,12,12,00,08,"12:00 PM PDT on August 12, 2008",America/Los_Angeles,2008,0,18,0,0,,,61,16,78,30.01,1016,78,26,10,16,17,27,61,16,30.00,1016,68,20,10,16,240,,6,10,61,16,54,29.98,1015,68,20,10,16,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
7,0,,12,25,00,08,"12:00 PM PDT on August 25, 2008",America/Los_Angeles,2008,0,10,0,5,,,55,13,82,29.96,1014,66,19,10,16,10,16,54,12,29.95,1014,60,16,10,16,250,,9,14,52,11,60,29.93,1013,60,16,10,16,8,13,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
8,0,,12,25,00,08,"12:00 PM PDT on August 25, 2008",America/Los_Angeles,2008,0,10,0,5,,,55,13,82,29.96,1014,66,19,10,16,10,16,54,12,29.95,1014,60,16,10,16,250,,9,14,52,11,60,29.93,1013,60,16,10,16,8,13,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
9,0,,12,25,00,08,"12:00 PM PDT on August 25, 2008",America/Los_Angeles,2008,0,10,0,5,,,55,13,82,29.96,1014,66,19,10,16,10,16,54,12,29.95,1014,60,16,10,16,250,,9,14,52,11,60,29.93,1013,60,16,10,16,8,13,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
